groupId,subjectID,teacherId,classroomId,startTime,endTime,dayOfWeek
1,2,1,1,7,8,Lunes
1,2,1,1,8,9,Lunes
1,3,2,3,9,10,Lunes
1,4,3,2,12,13,Lunes
1,5,4,3,7,8,Martes
1,5,4,3,8,9,Martes
1,6,5,3,10,11,Martes
1,6,5,3,11,12,Martes
1,1,6,3,12,13,Martes
1,1,6,3,13,14,Martes
1,3,2,3,8,9,Miércoles
1,3,2,3,9,10,Miércoles
1,7,7,3,12,13,Miércoles
1,7,7,3,13,14,Miércoles
1,6,5,3,10,11,Jueves
1,6,5,3,11,12,Jueves
1,1,6,3,12,13,Jueves
1,1,6,3,13,14,Jueves
1,2,1,1,7,8,Viernes
1,2,1,1,8,9,Viernes
1,5,4,4,10,11,Viernes
1,5,4,4,11,12,Viernes
1,7,7,3,12,13,Viernes
1,7,7,3,13,14,Viernes
2,2,1,1,7,8,Lunes
2,2,1,1,8,9,Lunes
2,3,2,3,9,10,Lunes
2,4,3,2,12,13,Lunes
2,5,8,3,8,9,Martes
2,5,8,3,9,10,Martes
2,6,5,3,10,11,Martes
2,6,5,3,11,12,Martes
2,1,6,3,12,13,Martes
2,1,6,3,13,14,Martes
2,3,2,3,8,9,Miércoles
2,3,2,3,9,10,Miércoles
2,7,7,3,12,13,Miércoles
2,7,7,3,13,14,Miércoles
2,6,5,3,10,11,Jueves
2,6,5,3,11,12,Jueves
2,1,6,3,12,13,Jueves
2,1,6,3,13,14,Jueves
2,2,1,1,7,8,Viernes
2,2,1,1,8,9,Viernes
2,5,8,3,10,11,Viernes
2,5,8,3,11,12,Viernes
2,7,7,3,12,13,Viernes
2,7,7,3,13,14,Viernes